"Store Name: Metabolic Code"
"Website Address: 1271 Ida St., Cincinnati, OH 45202, US"
"Product Name","Product SKU","Product Quantity","Product Price"
"Immuno Complex",TIMC,1,$16.44
ReBiosis,MCRBIO,4,$87.52
"Deep Blue Sleep",MCDBS,4,$94.72
QuiCalm,MCQC,6,$190.50
T-Time,MCTS,2,$62.62
TheAva,MCTVA,2,$66.54
Sunfiber®,MCFIB,4,$107.76
"Gluco-beta Stimulator Plus",SGBS+,2,$54.96
"True Chelate Magnesium",MMG,4,$79.64
"Pro Flora Max+",SFMP,2,$60.76
"Osseoapatite Plus",TOSP,4,$49.36
"Ultra Pure Liver Concentrate",MCLP,2,$61.44
Selenometh-Iodine,MSEM+,2,$22.62
"Lipid Rescue",MCLR,3,$141.06
"EstroMetab 2.0",MCEM,4,$67.56
