"Store Name: Metabolic Code®"
"Website Address: 1271 Ida St., Cincinnati, OH 45202, US"
"Product Name","Product SKU","Product Quantity","Product Price"
"Adtp-Cell Signal",MCAAE,3,$140.58
Adpt-CNS,MCADPT,3,$81.54
"Clarify 4.0",MCCL,3,$67.20
"EstroMetab 2.0",MCEM,3,$50.67
MycoBind,MCMB,2,$52.44
ReBiosis,MCRBIO,4,$87.52
"RenoCap Forté",MCKD,2,$53.30
"Pro Multi Enzyme Complex",SMEC,1,$33.00
Sunfiber®,MCFIB,2,$53.88
"Gluco-beta Stimulator Plus",SGBS+,2,$54.96
"Mitochondrial & Energy Assist",SENS,2,$47.74
"Pro Flora Max+",SFMP,1,$30.38
"Lipid Rescue",MCLR,1,$47.02
